Case ID,Narrative Link.x,caseid_name,TIES,TIES Code,EUSANCT,GSDB,startmonth,startday,startyear,endmonth,endday,endyear,primarysender,targetstate,ongoingasofmonth,ongoingasofday,ongoingasofyear,sender1,sender2,sender3,sender4,sender5,institution,institutionid,targetinstitution,otherinstitution,issue1,issue2,issue3,otherissue,threat,threatid1,threatid2,threatid3,terminateaid,sanctiontypethreat,othersanctiontypethreatened,bspecif,scommit,threatenedtargetinterest,dsanctions,carrots,anticipatedtargetcosts,anticipatedtargetcostsfigureifav,tcurrency,tyearofestimate,anticipatedsendercosts,scurrency,syearofestimate,imposition,sancimpositionstartmonth,sancimpositionstartday,sancimpositionstartyear,sanctionidentity,sanctiontype,othersanctiontype,implementationofdiplomaticsancti,carrotsduringsanction,carrotvalue,carrotcurrency,carrotyear,targetcosts,targeteconomiccostsfigure,targeteconomiccostscurrency,targeteconomiccostsyear,sendercosts,sendereconomiccostsfigure,sendereconomiccostscurrency,sendereconomiccostsyear,finaloutcome,settlementnaturesender,settlementnaturetarget,
1997080101,,Unverifiable,1,1997080101,0,0,8,1,1997,,,,United States,China,,,,2,,,,,0,,,,13,,,,1,1,,,,4,,1,2,3,,,1,,,,1,,,1,8,1,1997,1,3,,,0,,,,1,,,,1,,,,,,,
1997042501,,Unverifiable,1,1997042501,0,0,4,25,1997,10,6,1998,European Union,China,,,,1000,,,,,1,1830,0,,13,,,,1,8,,,,4,,2,3,3,,,1,,,,1,,,0,,,,,,,,,,,,,,,,,,,,3,3,7,
1997091801,,Unverifiable,1,1997091801,0,0,9,18,1997,,,,European Union,China,,,,1000,,,,,1,1830,0,,13,,,,1,8,,,,4,,1,2,3,,,1,,,,1,,,1,9,18,1997,6,3,,,0,,,,1,,,,1,,,,,,,
1998102301,,Unverifiable,1,1998102301,0,0,10,23,1998,,,,India,China,,,,750,,,,,0,,,,13,,,,1,6,,,,4,,,,3,,,1,,,,1,,,1,10,23,1998,5,3,,,0,,,,1,,,10,1,,,10,,,,
2000052501,,Unverifiable,1,2000052501,0,0,5,25,2000,11,12,2000,Indonesia,China,,,,850,,,,,0,,,,13,,,,1,6,,,,4,,2,2,3,,,1,,,,1,,,1,7,15,2000,5,3,,,0,,,,1,,,,1,,,,,,,
2001012201,,Unverifiable,1,2001012201,0,0,1,22,2001,,,,United States,China,1,4,2010,2,,,,,0,,,,9,,,,1,1,,,,1,,2,2,3,,,1,,,,1,,,1,6,27,2001,1 5,2 4,,,0,,,,1,,,,1,,,,9,5,5,
200510002710,https://docs.google.com/document/d/1yQxDWNyah_1NCrvNLtMOYZhxSJAzhaaliIeaV-2K4F4/export?format=pdf,US-China IP 2005,0,,0,0,10,27,2005,,,,United States,China,,,,2,Japan,Switzerland,,,,,,,13,,,,1,6,,,,1,,1,3,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
200510140710,https://docs.google.com/document/d/1TrvR0CeOHQ4x-Wa3gvSEOp2cJx7Gd8KII7cv7yWDJeI/export?format=pdf,Brazil-China Anti-Dumping,0,,0,0,6,10,2005,,,,Brazil,China,,,,140,,,,,,,,,13,,,,1,1,,,,1,,1,3,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
200509002710,https://docs.google.com/document/d/19tnyKPAROw2Vf4dBOX_KDihSuNmlRKi9/export?format=pdf&ouid=104467973975587797882&rtpof=true&sd=true,Banco Delta,0,,0,0,9,10,2005,,,,United States,China,,,,2,,,,,,,,,13?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200312002710,https://docs.google.com/document/d/1AuOSQLlvP_Ypcn4JXHob9TVnnaCqV5SC/export?format=pdf&ouid=104467973975587797882&rtpof=true&sd=true,US-China Shrimp,0,,0,0,2,,2005,,,,United States,China,,,,2,,,,,,,,,13,,,,1,1,,,,4,,2,2,,,,1,,,,1,,,1,1,7,2005,1,3,,,,,,,,,,,,,,,,,,
